
==============================
Topic Block Report: Telejornal_RTP_Dec_11
==============================

Total segments after smoothing: 337
Total frames: 1177

Segments:
- Labor | frames 0–6 (7 frames)
- Labor | frames 8–11 (4 frames)
- Labor | frames 34–37 (4 frames)
- Labor | frames 43–44 (2 frames)
- Labor | frames 46–48 (3 frames)
- Labor | frames 58–61 (4 frames)
- Labor | frames 79–80 (2 frames)
- Labor | frames 93–94 (2 frames)
- Labor | frames 97–98 (2 frames)
- Labor | frames 102–103 (2 frames)
- Labor | frames 108–110 (3 frames)
- Labor | frames 116–117 (2 frames)
- Labor | frames 119–120 (2 frames)
- Politics | frames 131–133 (3 frames)
- Labor | frames 135–138 (4 frames)
- Labor | frames 140–148 (9 frames)
- Labor | frames 155–156 (2 frames)
- Labor | frames 158–159 (2 frames)
- Labor | frames 171–172 (2 frames)
- Labor | frames 181–182 (2 frames)
- Labor | frames 184–185 (2 frames)
- Labor | frames 187–189 (3 frames)
- Labor | frames 191–193 (3 frames)
- Politics | frames 205–206 (2 frames)
- Labor | frames 213–214 (2 frames)
- Labor | frames 216–219 (4 frames)
- Labor | frames 223–224 (2 frames)
- Labor | frames 227–234 (8 frames)
- Labor | frames 236–242 (7 frames)
- Labor | frames 251–252 (2 frames)
- Labor | frames 257–259 (3 frames)
- Labor | frames 263–264 (2 frames)
- Labor | frames 276–277 (2 frames)
- Politics | frames 281–282 (2 frames)
- Labor | frames 283–284 (2 frames)
- Labor | frames 290–292 (3 frames)
- Labor | frames 298–305 (8 frames)
- Labor | frames 309–315 (7 frames)
- Labor | frames 317–319 (3 frames)
- Labor | frames 329–334 (6 frames)
- Labor | frames 339–343 (5 frames)
- Labor | frames 350–356 (7 frames)
- Labor | frames 367–369 (3 frames)
- Labor | frames 371–374 (4 frames)
- Labor | frames 387–394 (8 frames)
- Politics | frames 398–399 (2 frames)
- Labor | frames 401–402 (2 frames)
- Labor | frames 416–422 (7 frames)
- Labor | frames 429–430 (2 frames)
- Labor | frames 434–435 (2 frames)
- Labor | frames 437–439 (3 frames)
- Politics | frames 455–456 (2 frames)
- Labor | frames 468–469 (2 frames)
- Labor | frames 472–475 (4 frames)
- Labor | frames 497–498 (2 frames)
- Labor | frames 503–504 (2 frames)
- Labor | frames 506–507 (2 frames)
- Labor | frames 517–518 (2 frames)
- Labor | frames 523–524 (2 frames)
- Labor | frames 540–546 (7 frames)
- Labor | frames 554–557 (4 frames)
- Labor | frames 559–563 (5 frames)
- Labor | frames 567–571 (5 frames)
- Labor | frames 610–612 (3 frames)
- Labor | frames 617–619 (3 frames)
- Labor | frames 623–626 (4 frames)
- Labor | frames 628–631 (4 frames)
- Labor | frames 640–643 (4 frames)
- Labor | frames 646–648 (3 frames)
- Labor | frames 650–651 (2 frames)
- Labor | frames 655–658 (4 frames)
- Labor | frames 665–670 (6 frames)
- Labor | frames 674–679 (6 frames)
- Labor | frames 681–682 (2 frames)
- Labor | frames 684–689 (6 frames)
- Labor | frames 693–694 (2 frames)
- Labor | frames 709–713 (5 frames)
- Labor | frames 719–720 (2 frames)
- Labor | frames 725–727 (3 frames)
- Labor | frames 733–734 (2 frames)
- Labor | frames 740–741 (2 frames)
- Labor | frames 748–750 (3 frames)
- Labor | frames 752–754 (3 frames)
- Labor | frames 761–762 (2 frames)
- Labor | frames 764–765 (2 frames)
- Labor | frames 767–773 (7 frames)
- Labor | frames 785–786 (2 frames)
- Labor | frames 790–793 (4 frames)
- Labor | frames 795–797 (3 frames)
- Politics | frames 798–799 (2 frames)
- Labor | frames 804–805 (2 frames)
- Labor | frames 813–816 (4 frames)
- Labor | frames 819–824 (6 frames)
- Labor | frames 847–850 (4 frames)
- Labor | frames 855–857 (3 frames)
- Labor | frames 859–860 (2 frames)
- Labor | frames 862–863 (2 frames)
- Labor | frames 865–867 (3 frames)
- Labor | frames 875–878 (4 frames)
- Labor | frames 880–884 (5 frames)
- Labor | frames 888–893 (6 frames)
- Politics | frames 895–896 (2 frames)
- Other | frames 898–901 (4 frames)
- Labor | frames 902–903 (2 frames)
- Labor | frames 910–914 (5 frames)
- Labor | frames 923–924 (2 frames)
- Labor | frames 928–934 (7 frames)
- Labor | frames 944–945 (2 frames)
- Labor | frames 948–949 (2 frames)
- Labor | frames 966–967 (2 frames)
- Labor | frames 972–975 (4 frames)
- Labor | frames 978–981 (4 frames)
- Labor | frames 990–991 (2 frames)
- Labor | frames 999–1001 (3 frames)
- Labor | frames 1013–1017 (5 frames)
- Labor | frames 1023–1025 (3 frames)
- Labor | frames 1029–1032 (4 frames)
- Politics | frames 1036–1038 (3 frames)
- Labor | frames 1051–1053 (3 frames)
- Labor | frames 1057–1058 (2 frames)
- Labor | frames 1060–1061 (2 frames)
- Labor | frames 1066–1073 (8 frames)
- Labor | frames 1095–1096 (2 frames)
- Labor | frames 1099–1101 (3 frames)
- Labor | frames 1109–1112 (4 frames)
- Labor | frames 1114–1115 (2 frames)
- Labor | frames 1128–1129 (2 frames)
- Labor | frames 1131–1135 (5 frames)
- Labor | frames 1137–1140 (4 frames)
- International | frames 1149–1150 (2 frames)
- Labor | frames 1152–1153 (2 frames)
- Labor | frames 1155–1160 (6 frames)
- Labor | frames 1174–1179 (6 frames)
- Labor | frames 1186–1191 (6 frames)
- Politics | frames 1201–1202 (2 frames)
- Politics | frames 1209–1210 (2 frames)
- Labor | frames 1215–1216 (2 frames)
- Politics | frames 1217–1218 (2 frames)
- Labor | frames 1221–1222 (2 frames)
- Labor | frames 1229–1230 (2 frames)
- Labor | frames 1239–1246 (8 frames)
- Labor | frames 1250–1253 (4 frames)
- Politics | frames 1256–1257 (2 frames)
- Health | frames 1261–1262 (2 frames)
- Labor | frames 1266–1267 (2 frames)
- Politics | frames 1271–1272 (2 frames)
- Labor | frames 1274–1276 (3 frames)
- Labor | frames 1280–1282 (3 frames)
- Labor | frames 1290–1291 (2 frames)
- Labor | frames 1306–1307 (2 frames)
- Labor | frames 1311–1312 (2 frames)
- Politics | frames 1321–1322 (2 frames)
- Labor | frames 1323–1326 (4 frames)
- Labor | frames 1336–1337 (2 frames)
- Labor | frames 1339–1341 (3 frames)
- Labor | frames 1345–1346 (2 frames)
- Politics | frames 1352–1354 (3 frames)
- Labor | frames 1360–1361 (2 frames)
- Labor | frames 1366–1369 (4 frames)
- Labor | frames 1380–1381 (2 frames)
- Labor | frames 1387–1391 (5 frames)
- Labor | frames 1393–1394 (2 frames)
- Labor | frames 1399–1400 (2 frames)
- Labor | frames 1407–1412 (6 frames)
- Labor | frames 1432–1433 (2 frames)
- Politics | frames 1438–1439 (2 frames)
- Labor | frames 1443–1444 (2 frames)
- Labor | frames 1446–1447 (2 frames)
- Labor | frames 1453–1454 (2 frames)
- Labor | frames 1460–1463 (4 frames)
- Labor | frames 1465–1468 (4 frames)
- Labor | frames 1470–1475 (6 frames)
- Labor | frames 1484–1488 (5 frames)
- Labor | frames 1491–1495 (5 frames)
- Labor | frames 1497–1500 (4 frames)
- Labor | frames 1504–1505 (2 frames)
- Labor | frames 1513–1515 (3 frames)
- Labor | frames 1517–1520 (4 frames)
- Labor | frames 1524–1525 (2 frames)
- Labor | frames 1530–1533 (4 frames)
- Labor | frames 1535–1542 (8 frames)
- Labor | frames 1544–1546 (3 frames)
- Labor | frames 1548–1551 (4 frames)
- Labor | frames 1555–1557 (3 frames)
- Labor | frames 1561–1563 (3 frames)
- Labor | frames 1568–1571 (4 frames)
- Labor | frames 1579–1580 (2 frames)
- Labor | frames 1583–1584 (2 frames)
- Labor | frames 1590–1592 (3 frames)
- Labor | frames 1597–1602 (6 frames)
- Labor | frames 1606–1608 (3 frames)
- Labor | frames 1611–1619 (9 frames)
- Labor | frames 1633–1634 (2 frames)
- Labor | frames 1644–1645 (2 frames)
- Labor | frames 1651–1654 (4 frames)
- Labor | frames 1657–1659 (3 frames)
- Labor | frames 1663–1665 (3 frames)
- Labor | frames 1673–1677 (5 frames)
- Labor | frames 1684–1687 (4 frames)
- Labor | frames 1689–1694 (6 frames)
- Labor | frames 1707–1711 (5 frames)
- Labor | frames 1714–1720 (7 frames)
- Labor | frames 1729–1732 (4 frames)
- Labor | frames 1734–1736 (3 frames)
- Labor | frames 1742–1745 (4 frames)
- Labor | frames 1747–1749 (3 frames)
- Labor | frames 1767–1772 (6 frames)
- Labor | frames 1774–1777 (4 frames)
- Labor | frames 1779–1781 (3 frames)
- Labor | frames 1796–1800 (5 frames)
- Labor | frames 1819–1823 (5 frames)
- Labor | frames 1828–1831 (4 frames)
- Labor | frames 1849–1854 (6 frames)
- Labor | frames 1866–1871 (6 frames)
- Labor | frames 1873–1883 (11 frames)
- Labor | frames 1885–1887 (3 frames)
- Labor | frames 1889–1893 (5 frames)
- Labor | frames 1897–1901 (5 frames)
- Labor | frames 1906–1907 (2 frames)
- Labor | frames 1913–1914 (2 frames)
- Politics | frames 1935–1936 (2 frames)
- Labor | frames 1961–1962 (2 frames)
- Labor | frames 1964–1968 (5 frames)
- Labor | frames 1972–1975 (4 frames)
- Labor | frames 1979–1980 (2 frames)
- Labor | frames 1982–1985 (4 frames)
- Labor | frames 1994–1995 (2 frames)
- Labor | frames 1999–2000 (2 frames)
- Labor | frames 2006–2007 (2 frames)
- Labor | frames 2011–2013 (3 frames)
- Labor | frames 2019–2021 (3 frames)
- Labor | frames 2027–2028 (2 frames)
- Labor | frames 2032–2038 (7 frames)
- Labor | frames 2044–2045 (2 frames)
- Labor | frames 2055–2062 (8 frames)
- Labor | frames 2066–2068 (3 frames)
- Labor | frames 2074–2077 (4 frames)
- Labor | frames 2079–2086 (8 frames)
- Labor | frames 2093–2094 (2 frames)
- Labor | frames 2101–2102 (2 frames)
- Labor | frames 2104–2106 (3 frames)
- Labor | frames 2108–2109 (2 frames)
- Labor | frames 2111–2117 (7 frames)
- Labor | frames 2119–2121 (3 frames)
- Labor | frames 2131–2134 (4 frames)
- Politics | frames 2141–2142 (2 frames)
- Labor | frames 2144–2146 (3 frames)
- Labor | frames 2157–2161 (5 frames)
- Labor | frames 2168–2169 (2 frames)
- Labor | frames 2171–2173 (3 frames)
