
==============================
Topic Block Report: Telejornal_RTP_Dec_2
==============================

Total segments after smoothing: 342
Total frames: 969

Segments:
- International | frames 4–5 (2 frames)
- International | frames 10–11 (2 frames)
- Politics | frames 14–17 (4 frames)
- Politics | frames 25–26 (2 frames)
- Politics | frames 29–30 (2 frames)
- Politics | frames 35–40 (6 frames)
- Politics | frames 61–62 (2 frames)
- Politics | frames 71–72 (2 frames)
- International | frames 77–78 (2 frames)
- International | frames 82–83 (2 frames)
- Politics | frames 88–89 (2 frames)
- International | frames 90–91 (2 frames)
- Politics | frames 96–98 (3 frames)
- International | frames 104–105 (2 frames)
- Politics | frames 106–108 (3 frames)
- Health | frames 129–130 (2 frames)
- Politics | frames 131–134 (4 frames)
- International | frames 136–137 (2 frames)
- Labor | frames 146–147 (2 frames)
- Politics | frames 155–157 (3 frames)
- Politics | frames 171–172 (2 frames)
- Politics | frames 175–176 (2 frames)
- Politics | frames 178–179 (2 frames)
- Politics | frames 189–192 (4 frames)
- Politics | frames 210–212 (3 frames)
- Politics | frames 215–216 (2 frames)
- Politics | frames 221–224 (4 frames)
- Politics | frames 227–229 (3 frames)
- Politics | frames 238–240 (3 frames)
- Politics | frames 248–249 (2 frames)
- Politics | frames 258–262 (5 frames)
- Politics | frames 267–268 (2 frames)
- International | frames 272–273 (2 frames)
- Politics | frames 274–279 (6 frames)
- Politics | frames 288–289 (2 frames)
- International | frames 294–297 (4 frames)
- Politics | frames 301–305 (5 frames)
- Politics | frames 320–321 (2 frames)
- International | frames 324–325 (2 frames)
- Politics | frames 329–333 (5 frames)
- International | frames 334–335 (2 frames)
- Politics | frames 342–343 (2 frames)
- Politics | frames 349–350 (2 frames)
- Politics | frames 361–363 (3 frames)
- Politics | frames 369–373 (5 frames)
- Politics | frames 379–380 (2 frames)
- Politics | frames 389–391 (3 frames)
- Politics | frames 400–401 (2 frames)
- Politics | frames 403–405 (3 frames)
- Politics | frames 408–412 (5 frames)
- Politics | frames 414–415 (2 frames)
- Politics | frames 423–426 (4 frames)
- Politics | frames 428–429 (2 frames)
- Politics | frames 432–434 (3 frames)
- Politics | frames 446–447 (2 frames)
- Politics | frames 454–456 (3 frames)
- Health | frames 465–466 (2 frames)
- Politics | frames 472–473 (2 frames)
- Politics | frames 482–483 (2 frames)
- Politics | frames 485–494 (10 frames)
- Politics | frames 507–508 (2 frames)
- Politics | frames 521–522 (2 frames)
- Politics | frames 525–526 (2 frames)
- Politics | frames 538–541 (4 frames)
- Politics | frames 543–544 (2 frames)
- Politics | frames 552–554 (3 frames)
- Politics | frames 557–558 (2 frames)
- Politics | frames 583–584 (2 frames)
- Politics | frames 589–590 (2 frames)
- Politics | frames 592–595 (4 frames)
- International | frames 598–599 (2 frames)
- Politics | frames 604–605 (2 frames)
- Politics | frames 607–608 (2 frames)
- Politics | frames 612–614 (3 frames)
- International | frames 617–619 (3 frames)
- Politics | frames 621–623 (3 frames)
- Politics | frames 626–627 (2 frames)
- International | frames 637–638 (2 frames)
- Politics | frames 639–641 (3 frames)
- Politics | frames 643–645 (3 frames)
- Politics | frames 650–653 (4 frames)
- Politics | frames 659–660 (2 frames)
- Health | frames 664–665 (2 frames)
- Politics | frames 674–675 (2 frames)
- International | frames 682–683 (2 frames)
- International | frames 687–688 (2 frames)
- International | frames 692–693 (2 frames)
- Politics | frames 705–708 (4 frames)
- Labor | frames 717–718 (2 frames)
- Politics | frames 720–721 (2 frames)
- Politics | frames 728–729 (2 frames)
- Politics | frames 731–733 (3 frames)
- International | frames 745–747 (3 frames)
- Politics | frames 749–753 (5 frames)
- Politics | frames 784–785 (2 frames)
- Politics | frames 795–796 (2 frames)
- International | frames 802–803 (2 frames)
- Politics | frames 805–808 (4 frames)
- Politics | frames 810–813 (4 frames)
- Politics | frames 815–821 (7 frames)
- International | frames 824–825 (2 frames)
- Politics | frames 835–836 (2 frames)
- Labor | frames 837–838 (2 frames)
- Politics | frames 844–850 (7 frames)
- Politics | frames 856–859 (4 frames)
- International | frames 871–873 (3 frames)
- International | frames 883–884 (2 frames)
- Politics | frames 891–896 (6 frames)
- Politics | frames 903–904 (2 frames)
- Politics | frames 910–911 (2 frames)
- Politics | frames 915–918 (4 frames)
- Politics | frames 925–928 (4 frames)
- International | frames 929–930 (2 frames)
- Politics | frames 934–935 (2 frames)
- Politics | frames 948–949 (2 frames)
- Politics | frames 951–952 (2 frames)
- Politics | frames 965–966 (2 frames)
- Politics | frames 975–977 (3 frames)
- Economy | frames 978–979 (2 frames)
- International | frames 990–991 (2 frames)
- Politics | frames 999–1000 (2 frames)
- Politics | frames 1015–1020 (6 frames)
- Politics | frames 1037–1038 (2 frames)
- International | frames 1039–1040 (2 frames)
- International | frames 1042–1043 (2 frames)
- Politics | frames 1044–1048 (5 frames)
