
==============================
Topic Block Report: Telejornal_RTP_Jan_6
==============================

Total segments after smoothing: 260
Total frames: 698

Segments:
- Politics | frames 0–2 (3 frames)
- Politics | frames 4–5 (2 frames)
- Politics | frames 49–52 (4 frames)
- Politics | frames 64–65 (2 frames)
- Politics | frames 68–71 (4 frames)
- Politics | frames 82–83 (2 frames)
- Politics | frames 95–96 (2 frames)
- Politics | frames 104–105 (2 frames)
- International | frames 119–120 (2 frames)
- Politics | frames 134–135 (2 frames)
- Politics | frames 157–159 (3 frames)
- Politics | frames 208–209 (2 frames)
- Politics | frames 228–229 (2 frames)
- Politics | frames 231–237 (7 frames)
- Politics | frames 248–250 (3 frames)
- Politics | frames 269–270 (2 frames)
- International | frames 272–273 (2 frames)
- Politics | frames 278–281 (4 frames)
- Politics | frames 286–288 (3 frames)
- Politics | frames 291–292 (2 frames)
- Politics | frames 313–314 (2 frames)
- Politics | frames 319–321 (3 frames)
- Politics | frames 342–343 (2 frames)
- Health | frames 344–345 (2 frames)
- International | frames 352–353 (2 frames)
- Politics | frames 354–356 (3 frames)
- Politics | frames 360–362 (3 frames)
- Politics | frames 369–370 (2 frames)
- Politics | frames 376–378 (3 frames)
- Politics | frames 389–391 (3 frames)
- Politics | frames 393–395 (3 frames)
- Justice/Crime | frames 411–412 (2 frames)
- Justice/Crime | frames 432–433 (2 frames)
- Other | frames 442–445 (4 frames)
- International | frames 448–450 (3 frames)
- Politics | frames 453–454 (2 frames)
- Politics | frames 457–461 (5 frames)
- Politics | frames 478–482 (5 frames)
- Politics | frames 489–490 (2 frames)
- Justice/Crime | frames 507–508 (2 frames)
- International | frames 509–510 (2 frames)
- Politics | frames 511–516 (6 frames)
- Politics | frames 518–519 (2 frames)
- Politics | frames 521–522 (2 frames)
- Politics | frames 526–527 (2 frames)
- Politics | frames 531–534 (4 frames)
- Health | frames 551–552 (2 frames)
- Politics | frames 556–557 (2 frames)
- Politics | frames 559–561 (3 frames)
- Politics | frames 565–567 (3 frames)
- International | frames 568–569 (2 frames)
- Politics | frames 576–578 (3 frames)
- International | frames 597–598 (2 frames)
- Politics | frames 604–606 (3 frames)
- Politics | frames 612–617 (6 frames)
- Politics | frames 620–621 (2 frames)
- Politics | frames 641–644 (4 frames)
- Other | frames 647–650 (4 frames)
- Politics | frames 656–658 (3 frames)
- Politics | frames 668–672 (5 frames)
- Politics | frames 677–679 (3 frames)
- Politics | frames 682–683 (2 frames)
- Other | frames 698–701 (4 frames)
- Health | frames 703–704 (2 frames)
- Politics | frames 722–723 (2 frames)
- International | frames 742–743 (2 frames)
- International | frames 767–768 (2 frames)
- Politics | frames 769–772 (4 frames)
- Politics | frames 785–786 (2 frames)
- International | frames 795–796 (2 frames)
- Other | frames 805–808 (4 frames)
- Politics | frames 812–813 (2 frames)
- Politics | frames 824–827 (4 frames)
- International | frames 828–829 (2 frames)
- Justice/Crime | frames 833–834 (2 frames)
- Politics | frames 836–837 (2 frames)
- Politics | frames 842–843 (2 frames)
- International | frames 848–849 (2 frames)
- Politics | frames 864–865 (2 frames)
- International | frames 875–876 (2 frames)
- Politics | frames 891–892 (2 frames)
- International | frames 906–907 (2 frames)
- Politics | frames 918–920 (3 frames)
- Politics | frames 922–923 (2 frames)
- Politics | frames 932–933 (2 frames)
- Justice/Crime | frames 947–948 (2 frames)
- Politics | frames 949–950 (2 frames)
- Health | frames 958–959 (2 frames)
- Other | frames 966–969 (4 frames)
- Politics | frames 979–980 (2 frames)
- Other | frames 981–984 (4 frames)
- Politics | frames 1034–1035 (2 frames)
- Politics | frames 1042–1043 (2 frames)
- Justice/Crime | frames 1062–1063 (2 frames)
- Politics | frames 1070–1071 (2 frames)
- International | frames 1104–1105 (2 frames)
- Politics | frames 1116–1117 (2 frames)
- Justice/Crime | frames 1120–1121 (2 frames)
- Politics | frames 1125–1126 (2 frames)
- Politics | frames 1138–1140 (3 frames)
- Politics | frames 1148–1149 (2 frames)
- Other | frames 1169–1172 (4 frames)
- International | frames 1175–1176 (2 frames)
- Politics | frames 1191–1192 (2 frames)
- Politics | frames 1194–1196 (3 frames)
- Politics | frames 1265–1268 (4 frames)
- Politics | frames 1271–1272 (2 frames)
- International | frames 1311–1312 (2 frames)
- International | frames 1314–1315 (2 frames)
- International | frames 1319–1320 (2 frames)
- Politics | frames 1327–1328 (2 frames)
- Politics | frames 1339–1340 (2 frames)
- Politics | frames 1345–1346 (2 frames)
- Other | frames 1349–1354 (6 frames)
- Politics | frames 1359–1361 (3 frames)
- Politics | frames 1395–1396 (2 frames)
- International | frames 1405–1408 (4 frames)
- Politics | frames 1417–1418 (2 frames)
- Politics | frames 1427–1429 (3 frames)
- International | frames 1430–1431 (2 frames)
- Politics | frames 1433–1434 (2 frames)
- Health | frames 1437–1438 (2 frames)
- International | frames 1448–1450 (3 frames)
- Politics | frames 1464–1466 (3 frames)
- Politics | frames 1503–1504 (2 frames)
- Politics | frames 1510–1511 (2 frames)
- Politics | frames 1526–1527 (2 frames)
- Politics | frames 1534–1536 (3 frames)
- Politics | frames 1544–1545 (2 frames)
- International | frames 1547–1548 (2 frames)
- Politics | frames 1552–1554 (3 frames)
- Politics | frames 1556–1557 (2 frames)
- Politics | frames 1567–1568 (2 frames)
- Politics | frames 1584–1585 (2 frames)
- Politics | frames 1590–1593 (4 frames)
- Politics | frames 1595–1598 (4 frames)
- Other | frames 1610–1613 (4 frames)
- Politics | frames 1614–1616 (3 frames)
- Politics | frames 1618–1622 (5 frames)
- Politics | frames 1638–1639 (2 frames)
- Politics | frames 1644–1645 (2 frames)
- Justice/Crime | frames 1646–1647 (2 frames)
- Politics | frames 1649–1650 (2 frames)
- Politics | frames 1652–1653 (2 frames)
- Politics | frames 1656–1657 (2 frames)
- Politics | frames 1660–1661 (2 frames)
- Politics | frames 1676–1677 (2 frames)
- Justice/Crime | frames 1685–1686 (2 frames)
- Politics | frames 1688–1690 (3 frames)
- Politics | frames 1697–1698 (2 frames)
- Other | frames 1722–1725 (4 frames)
- Politics | frames 1726–1727 (2 frames)
- Politics | frames 1731–1735 (5 frames)
- Politics | frames 1755–1756 (2 frames)
- Politics | frames 1758–1759 (2 frames)
- Other | frames 1762–1766 (5 frames)
- Politics | frames 1768–1770 (3 frames)
- Politics | frames 1784–1787 (4 frames)
- Politics | frames 1796–1803 (8 frames)
- International | frames 1812–1813 (2 frames)
- Politics | frames 1870–1873 (4 frames)
- Politics | frames 1878–1880 (3 frames)
- Politics | frames 1886–1888 (3 frames)
- Politics | frames 1895–1896 (2 frames)
- Politics | frames 1907–1908 (2 frames)
- Politics | frames 1910–1913 (4 frames)
- Justice/Crime | frames 1919–1920 (2 frames)
- Politics | frames 1963–1964 (2 frames)
- International | frames 1972–1973 (2 frames)
- Politics | frames 1974–1975 (2 frames)
- Politics | frames 1981–1982 (2 frames)
- International | frames 1984–1985 (2 frames)
- Politics | frames 1989–1990 (2 frames)
- Politics | frames 1996–1997 (2 frames)
- Politics | frames 2006–2008 (3 frames)
- Politics | frames 2058–2060 (3 frames)
- Politics | frames 2062–2063 (2 frames)
- Politics | frames 2071–2075 (5 frames)
- International | frames 2076–2077 (2 frames)
- Politics | frames 2082–2084 (3 frames)
- Politics | frames 2100–2104 (5 frames)
- Politics | frames 2108–2110 (3 frames)
- Other | frames 2116–2119 (4 frames)
- Politics | frames 2127–2128 (2 frames)
- Politics | frames 2150–2153 (4 frames)
- International | frames 2170–2171 (2 frames)
- Politics | frames 2187–2188 (2 frames)
- Politics | frames 2193–2194 (2 frames)
- Politics | frames 2203–2206 (4 frames)
- Politics | frames 2211–2212 (2 frames)
- Politics | frames 2219–2225 (7 frames)
- Politics | frames 2241–2242 (2 frames)
- Politics | frames 2251–2252 (2 frames)
- Other | frames 2282–2285 (4 frames)
- Politics | frames 2306–2307 (2 frames)
- Politics | frames 2309–2310 (2 frames)
- Justice/Crime | frames 2312–2313 (2 frames)
- International | frames 2314–2315 (2 frames)
- Politics | frames 2330–2331 (2 frames)
- Politics | frames 2334–2336 (3 frames)
- Politics | frames 2349–2350 (2 frames)
- Other | frames 2360–2363 (4 frames)
- Politics | frames 2374–2375 (2 frames)
