
==============================
Topic Block Report: Telejornal_RTP_Nov_10
==============================

Total segments after smoothing: 237
Total frames: 581

Segments:
- Politics | frames 27–30 (4 frames)
- Politics | frames 40–41 (2 frames)
- Justice/Crime | frames 47–48 (2 frames)
- Politics | frames 49–50 (2 frames)
- Politics | frames 54–55 (2 frames)
- Justice/Crime | frames 60–61 (2 frames)
- Politics | frames 74–75 (2 frames)
- Labor | frames 82–83 (2 frames)
- Justice/Crime | frames 93–94 (2 frames)
- Justice/Crime | frames 100–101 (2 frames)
- Justice/Crime | frames 109–110 (2 frames)
- Politics | frames 120–121 (2 frames)
- Politics | frames 137–139 (3 frames)
- Labor | frames 145–148 (4 frames)
- Politics | frames 176–177 (2 frames)
- Justice/Crime | frames 192–193 (2 frames)
- Justice/Crime | frames 195–196 (2 frames)
- Justice/Crime | frames 198–199 (2 frames)
- Other | frames 207–211 (5 frames)
- Justice/Crime | frames 218–219 (2 frames)
- Justice/Crime | frames 224–225 (2 frames)
- Labor | frames 236–237 (2 frames)
- Justice/Crime | frames 249–251 (3 frames)
- Politics | frames 257–258 (2 frames)
- Politics | frames 269–270 (2 frames)
- Justice/Crime | frames 303–304 (2 frames)
- Politics | frames 307–310 (4 frames)
- Politics | frames 315–316 (2 frames)
- Politics | frames 323–324 (2 frames)
- Labor | frames 327–328 (2 frames)
- Other | frames 332–335 (4 frames)
- Politics | frames 344–347 (4 frames)
- Politics | frames 359–360 (2 frames)
- Labor | frames 367–369 (3 frames)
- Justice/Crime | frames 391–392 (2 frames)
- Politics | frames 394–395 (2 frames)
- Justice/Crime | frames 396–398 (3 frames)
- Politics | frames 400–402 (3 frames)
- Politics | frames 417–418 (2 frames)
- Labor | frames 421–422 (2 frames)
- Politics | frames 432–436 (5 frames)
- Justice/Crime | frames 459–460 (2 frames)
- Justice/Crime | frames 465–467 (3 frames)
- Labor | frames 480–481 (2 frames)
- Justice/Crime | frames 487–489 (3 frames)
- Justice/Crime | frames 506–507 (2 frames)
- Justice/Crime | frames 512–513 (2 frames)
- Justice/Crime | frames 531–532 (2 frames)
- Politics | frames 539–540 (2 frames)
- Politics | frames 543–544 (2 frames)
- Politics | frames 549–550 (2 frames)
- Other | frames 555–558 (4 frames)
- Justice/Crime | frames 565–566 (2 frames)
- Politics | frames 571–572 (2 frames)
- Politics | frames 575–578 (4 frames)
- Politics | frames 581–582 (2 frames)
- Justice/Crime | frames 597–598 (2 frames)
- Politics | frames 599–600 (2 frames)
- Labor | frames 617–618 (2 frames)
- Justice/Crime | frames 619–620 (2 frames)
- Labor | frames 650–651 (2 frames)
- Politics | frames 655–658 (4 frames)
- Justice/Crime | frames 667–668 (2 frames)
- Politics | frames 671–672 (2 frames)
- Justice/Crime | frames 673–674 (2 frames)
- Justice/Crime | frames 691–692 (2 frames)
- Other | frames 696–700 (5 frames)
- Politics | frames 701–702 (2 frames)
- Politics | frames 704–705 (2 frames)
- Politics | frames 717–718 (2 frames)
- Politics | frames 721–722 (2 frames)
- Labor | frames 723–724 (2 frames)
- Politics | frames 727–728 (2 frames)
- Other | frames 744–748 (5 frames)
- Labor | frames 749–750 (2 frames)
- Politics | frames 751–753 (3 frames)
- Politics | frames 756–757 (2 frames)
- Politics | frames 769–770 (2 frames)
- Politics | frames 778–779 (2 frames)
- Politics | frames 785–787 (3 frames)
- Labor | frames 791–792 (2 frames)
- Justice/Crime | frames 802–804 (3 frames)
- Justice/Crime | frames 806–807 (2 frames)
- Other | frames 828–833 (6 frames)
- Politics | frames 835–836 (2 frames)
- Labor | frames 847–848 (2 frames)
- Justice/Crime | frames 857–859 (3 frames)
- Politics | frames 868–870 (3 frames)
- Labor | frames 883–884 (2 frames)
- Justice/Crime | frames 894–897 (4 frames)
- Politics | frames 900–901 (2 frames)
- Politics | frames 931–932 (2 frames)
- Politics | frames 935–936 (2 frames)
- Labor | frames 937–938 (2 frames)
- Politics | frames 978–979 (2 frames)
