
==============================
Topic Block Report: Telejornal_TVI_Dec_11
==============================

Total segments after smoothing: 402
Total frames: 1047

Segments:
- Politics | frames 12–13 (2 frames)
- Justice/Crime | frames 14–15 (2 frames)
- Labor | frames 24–26 (3 frames)
- Labor | frames 36–38 (3 frames)
- Labor | frames 55–56 (2 frames)
- Labor | frames 63–64 (2 frames)
- Labor | frames 66–68 (3 frames)
- Labor | frames 88–89 (2 frames)
- Labor | frames 94–96 (3 frames)
- Labor | frames 106–107 (2 frames)
- Labor | frames 114–115 (2 frames)
- Politics | frames 120–121 (2 frames)
- Labor | frames 126–127 (2 frames)
- Labor | frames 140–141 (2 frames)
- Labor | frames 145–147 (3 frames)
- Labor | frames 155–156 (2 frames)
- Labor | frames 166–167 (2 frames)
- Labor | frames 169–170 (2 frames)
- Labor | frames 184–185 (2 frames)
- Labor | frames 189–190 (2 frames)
- Labor | frames 197–198 (2 frames)
- Sports | frames 215–216 (2 frames)
- Labor | frames 222–223 (2 frames)
- Labor | frames 239–242 (4 frames)
- Labor | frames 258–260 (3 frames)
- Labor | frames 263–265 (3 frames)
- Justice/Crime | frames 276–278 (3 frames)
- Labor | frames 279–280 (2 frames)
- Labor | frames 292–294 (3 frames)
- Labor | frames 296–298 (3 frames)
- Labor | frames 306–307 (2 frames)
- Labor | frames 311–312 (2 frames)
- Justice/Crime | frames 319–320 (2 frames)
- Labor | frames 346–347 (2 frames)
- Labor | frames 364–365 (2 frames)
- Labor | frames 367–368 (2 frames)
- Labor | frames 379–381 (3 frames)
- Labor | frames 392–393 (2 frames)
- Labor | frames 401–403 (3 frames)
- Labor | frames 405–406 (2 frames)
- Labor | frames 414–417 (4 frames)
- International | frames 420–421 (2 frames)
- Labor | frames 431–433 (3 frames)
- Labor | frames 452–453 (2 frames)
- Labor | frames 462–463 (2 frames)
- Labor | frames 471–472 (2 frames)
- Labor | frames 475–477 (3 frames)
- Health | frames 478–479 (2 frames)
- Politics | frames 484–485 (2 frames)
- Labor | frames 494–495 (2 frames)
- Labor | frames 501–502 (2 frames)
- Labor | frames 507–510 (4 frames)
- International | frames 520–521 (2 frames)
- Labor | frames 523–524 (2 frames)
- Labor | frames 532–535 (4 frames)
- Labor | frames 537–538 (2 frames)
- Labor | frames 544–545 (2 frames)
- Labor | frames 551–554 (4 frames)
- Labor | frames 568–573 (6 frames)
- Labor | frames 578–580 (3 frames)
- Labor | frames 582–584 (3 frames)
- Labor | frames 600–601 (2 frames)
- Labor | frames 607–608 (2 frames)
- Labor | frames 631–632 (2 frames)
- Sports | frames 652–653 (2 frames)
- Labor | frames 668–670 (3 frames)
- Labor | frames 672–673 (2 frames)
- Labor | frames 677–680 (4 frames)
- Labor | frames 685–686 (2 frames)
- International | frames 695–696 (2 frames)
- Labor | frames 703–704 (2 frames)
- Labor | frames 719–720 (2 frames)
- Labor | frames 725–726 (2 frames)
- Labor | frames 729–731 (3 frames)
- Labor | frames 733–734 (2 frames)
- Politics | frames 739–740 (2 frames)
- Labor | frames 756–757 (2 frames)
- Labor | frames 769–770 (2 frames)
- Labor | frames 772–774 (3 frames)
- Labor | frames 776–778 (3 frames)
- Labor | frames 784–787 (4 frames)
- Labor | frames 795–796 (2 frames)
- Labor | frames 815–816 (2 frames)
- Labor | frames 818–819 (2 frames)
- Labor | frames 824–826 (3 frames)
- Other | frames 849–854 (6 frames)
- Labor | frames 861–862 (2 frames)
- Politics | frames 870–871 (2 frames)
- Labor | frames 880–882 (3 frames)
- Labor | frames 901–903 (3 frames)
- Labor | frames 906–908 (3 frames)
- Labor | frames 915–916 (2 frames)
- Labor | frames 918–919 (2 frames)
- Society | frames 922–923 (2 frames)
- Labor | frames 926–932 (7 frames)
- Labor | frames 954–955 (2 frames)
- Labor | frames 965–966 (2 frames)
- Labor | frames 968–969 (2 frames)
- Society | frames 970–971 (2 frames)
- Health | frames 986–987 (2 frames)
- Politics | frames 1009–1010 (2 frames)
- Labor | frames 1025–1028 (4 frames)
- Labor | frames 1030–1031 (2 frames)
- Labor | frames 1044–1049 (6 frames)
- Labor | frames 1055–1056 (2 frames)
- Labor | frames 1058–1059 (2 frames)
- Labor | frames 1067–1068 (2 frames)
- Labor | frames 1085–1086 (2 frames)
- Labor | frames 1090–1091 (2 frames)
- Politics | frames 1111–1112 (2 frames)
- International | frames 1138–1139 (2 frames)
- Labor | frames 1142–1143 (2 frames)
- Labor | frames 1153–1156 (4 frames)
- Labor | frames 1163–1164 (2 frames)
- Labor | frames 1173–1175 (3 frames)
- Labor | frames 1184–1185 (2 frames)
- Labor | frames 1188–1189 (2 frames)
- Labor | frames 1194–1197 (4 frames)
- Labor | frames 1199–1200 (2 frames)
- Labor | frames 1205–1206 (2 frames)
- Labor | frames 1213–1214 (2 frames)
- Labor | frames 1221–1222 (2 frames)
- Health | frames 1233–1234 (2 frames)
- Labor | frames 1245–1248 (4 frames)
- Labor | frames 1250–1252 (3 frames)
- Labor | frames 1267–1268 (2 frames)
- Society | frames 1276–1277 (2 frames)
- Labor | frames 1283–1284 (2 frames)
- Labor | frames 1288–1290 (3 frames)
- Labor | frames 1308–1311 (4 frames)
- Labor | frames 1313–1314 (2 frames)
- Labor | frames 1331–1332 (2 frames)
- International | frames 1355–1356 (2 frames)
- Labor | frames 1381–1382 (2 frames)
- Labor | frames 1391–1392 (2 frames)
- Labor | frames 1395–1397 (3 frames)
- Labor | frames 1400–1402 (3 frames)
- Labor | frames 1411–1413 (3 frames)
- International | frames 1447–1448 (2 frames)
- Society | frames 1450–1451 (2 frames)
- Labor | frames 1460–1464 (5 frames)
- Politics | frames 1473–1474 (2 frames)
- Labor | frames 1481–1482 (2 frames)
- Labor | frames 1491–1493 (3 frames)
- Labor | frames 1508–1509 (2 frames)
- Labor | frames 1512–1513 (2 frames)
- Labor | frames 1518–1519 (2 frames)
- Justice/Crime | frames 1524–1525 (2 frames)
- Labor | frames 1530–1531 (2 frames)
- Labor | frames 1548–1550 (3 frames)
- Labor | frames 1574–1577 (4 frames)
- Justice/Crime | frames 1585–1586 (2 frames)
- Labor | frames 1587–1588 (2 frames)
- Labor | frames 1597–1608 (12 frames)
- Labor | frames 1613–1614 (2 frames)
- Labor | frames 1617–1618 (2 frames)
- Labor | frames 1627–1629 (3 frames)
- Labor | frames 1645–1648 (4 frames)
- Labor | frames 1668–1669 (2 frames)
- International | frames 1671–1672 (2 frames)
- Labor | frames 1688–1689 (2 frames)
- Labor | frames 1702–1703 (2 frames)
- International | frames 1710–1711 (2 frames)
- Labor | frames 1721–1723 (3 frames)
- Labor | frames 1739–1741 (3 frames)
- Labor | frames 1755–1756 (2 frames)
- Labor | frames 1760–1761 (2 frames)
- Labor | frames 1765–1766 (2 frames)
- Labor | frames 1768–1771 (4 frames)
- Labor | frames 1776–1777 (2 frames)
- Labor | frames 1795–1796 (2 frames)
- Labor | frames 1803–1804 (2 frames)
- Politics | frames 1825–1826 (2 frames)
- Labor | frames 1827–1829 (3 frames)
- Labor | frames 1832–1833 (2 frames)
- Labor | frames 1842–1843 (2 frames)
- Labor | frames 1847–1849 (3 frames)
- Labor | frames 1853–1854 (2 frames)
- Sports | frames 1859–1860 (2 frames)
- Labor | frames 1866–1867 (2 frames)
- Labor | frames 1871–1872 (2 frames)
- Justice/Crime | frames 1874–1875 (2 frames)
- Labor | frames 1880–1882 (3 frames)
- Labor | frames 1898–1900 (3 frames)
- Labor | frames 1905–1908 (4 frames)
- Labor | frames 1910–1911 (2 frames)
- Labor | frames 1918–1919 (2 frames)
- Politics | frames 1921–1922 (2 frames)
- Labor | frames 1925–1930 (6 frames)
- Labor | frames 1932–1934 (3 frames)
- Labor | frames 1943–1944 (2 frames)
- Labor | frames 1946–1947 (2 frames)
- Labor | frames 1973–1974 (2 frames)
- Labor | frames 1988–1989 (2 frames)
- Labor | frames 2001–2004 (4 frames)
- Labor | frames 2017–2020 (4 frames)
- Labor | frames 2035–2036 (2 frames)
- Labor | frames 2042–2043 (2 frames)
- Labor | frames 2045–2046 (2 frames)
- Politics | frames 2061–2062 (2 frames)
- Labor | frames 2063–2064 (2 frames)
- Labor | frames 2073–2074 (2 frames)
- Labor | frames 2087–2088 (2 frames)
- Labor | frames 2090–2091 (2 frames)
- Labor | frames 2105–2107 (3 frames)
- Labor | frames 2109–2110 (2 frames)
- Labor | frames 2112–2114 (3 frames)
- Sports | frames 2122–2123 (2 frames)
- Labor | frames 2133–2134 (2 frames)
- Labor | frames 2136–2137 (2 frames)
- Labor | frames 2145–2146 (2 frames)
- Justice/Crime | frames 2153–2155 (3 frames)
- Labor | frames 2156–2157 (2 frames)
- Labor | frames 2159–2163 (5 frames)
- Labor | frames 2171–2172 (2 frames)
- Labor | frames 2180–2182 (3 frames)
- Politics | frames 2192–2193 (2 frames)
- International | frames 2205–2206 (2 frames)
- Justice/Crime | frames 2213–2214 (2 frames)
- International | frames 2215–2216 (2 frames)
- Labor | frames 2241–2242 (2 frames)
- Labor | frames 2244–2246 (3 frames)
- Labor | frames 2262–2263 (2 frames)
- Labor | frames 2279–2281 (3 frames)
- Labor | frames 2288–2289 (2 frames)
- Politics | frames 2303–2304 (2 frames)
- Labor | frames 2305–2308 (4 frames)
- Labor | frames 2330–2331 (2 frames)
- Labor | frames 2342–2344 (3 frames)
- Labor | frames 2346–2347 (2 frames)
- Labor | frames 2358–2360 (3 frames)
- Labor | frames 2362–2363 (2 frames)
- Labor | frames 2366–2367 (2 frames)
- Labor | frames 2370–2371 (2 frames)
- Labor | frames 2383–2387 (5 frames)
- Labor | frames 2394–2397 (4 frames)
- Labor | frames 2400–2403 (4 frames)
- Labor | frames 2407–2409 (3 frames)
- Labor | frames 2411–2412 (2 frames)
- Labor | frames 2421–2422 (2 frames)
- Labor | frames 2425–2428 (4 frames)
- Labor | frames 2439–2444 (6 frames)
- Labor | frames 2454–2455 (2 frames)
- Labor | frames 2479–2481 (3 frames)
- Labor | frames 2494–2496 (3 frames)
- Labor | frames 2498–2499 (2 frames)
- Labor | frames 2506–2507 (2 frames)
- Politics | frames 2514–2515 (2 frames)
- Labor | frames 2516–2519 (4 frames)
- Labor | frames 2524–2525 (2 frames)
- Labor | frames 2547–2550 (4 frames)
- Politics | frames 2555–2556 (2 frames)
- Labor | frames 2561–2563 (3 frames)
- Labor | frames 2570–2571 (2 frames)
- Labor | frames 2574–2575 (2 frames)
- Labor | frames 2579–2580 (2 frames)
- Justice/Crime | frames 2584–2585 (2 frames)
- Labor | frames 2586–2587 (2 frames)
- Labor | frames 2589–2590 (2 frames)
- Labor | frames 2601–2602 (2 frames)
- Labor | frames 2604–2605 (2 frames)
- Labor | frames 2608–2612 (5 frames)
- Labor | frames 2622–2623 (2 frames)
- Labor | frames 2625–2626 (2 frames)
- Labor | frames 2632–2633 (2 frames)
- Labor | frames 2640–2642 (3 frames)
- Labor | frames 2646–2650 (5 frames)
- Labor | frames 2664–2668 (5 frames)
- Society | frames 2672–2673 (2 frames)
- Labor | frames 2679–2680 (2 frames)
- Labor | frames 2682–2683 (2 frames)
- Labor | frames 2696–2697 (2 frames)
- Labor | frames 2710–2712 (3 frames)
- Labor | frames 2730–2731 (2 frames)
- Labor | frames 2741–2742 (2 frames)
- Labor | frames 2750–2751 (2 frames)
- Labor | frames 2767–2770 (4 frames)
- Labor | frames 2772–2773 (2 frames)
- Labor | frames 2779–2780 (2 frames)
- Labor | frames 2799–2800 (2 frames)
- Labor | frames 2803–2804 (2 frames)
- Labor | frames 2807–2808 (2 frames)
- Other | frames 2817–2820 (4 frames)
- Politics | frames 2827–2829 (3 frames)
- Labor | frames 2853–2854 (2 frames)
- Labor | frames 2870–2871 (2 frames)
- Labor | frames 2876–2877 (2 frames)
- Labor | frames 2912–2913 (2 frames)
- Labor | frames 2920–2921 (2 frames)
- Labor | frames 2923–2924 (2 frames)
- Labor | frames 2932–2933 (2 frames)
- Labor | frames 2942–2943 (2 frames)
- Politics | frames 2949–2950 (2 frames)
- Labor | frames 2963–2965 (3 frames)
- Labor | frames 2978–2979 (2 frames)
- Labor | frames 2985–2988 (4 frames)
- Sports | frames 2993–2994 (2 frames)
- Labor | frames 2999–3000 (2 frames)
- Labor | frames 3033–3036 (4 frames)
- Labor | frames 3038–3040 (3 frames)
- Labor | frames 3045–3046 (2 frames)
- Labor | frames 3048–3049 (2 frames)
- Labor | frames 3058–3059 (2 frames)
- Labor | frames 3061–3062 (2 frames)
- Politics | frames 3071–3072 (2 frames)
- Labor | frames 3090–3091 (2 frames)
- Labor | frames 3099–3100 (2 frames)
- Labor | frames 3102–3106 (5 frames)
- Labor | frames 3108–3112 (5 frames)
- Labor | frames 3114–3115 (2 frames)
- Labor | frames 3118–3121 (4 frames)
- Politics | frames 3130–3132 (3 frames)
- Labor | frames 3142–3143 (2 frames)
- Labor | frames 3146–3147 (2 frames)
- Labor | frames 3160–3165 (6 frames)
- Society | frames 3185–3186 (2 frames)
- Labor | frames 3204–3205 (2 frames)
- Labor | frames 3215–3218 (4 frames)
- Labor | frames 3222–3224 (3 frames)
- Health | frames 3235–3236 (2 frames)
- Labor | frames 3238–3242 (5 frames)
- Labor | frames 3254–3258 (5 frames)
- Labor | frames 3260–3261 (2 frames)
- Labor | frames 3309–3311 (3 frames)
- Labor | frames 3317–3319 (3 frames)
- Labor | frames 3328–3330 (3 frames)
- Labor | frames 3340–3343 (4 frames)
- Labor | frames 3347–3348 (2 frames)
- Labor | frames 3369–3372 (4 frames)
- Labor | frames 3404–3406 (3 frames)
- Labor | frames 3415–3420 (6 frames)
- Other | frames 3425–3428 (4 frames)
- Labor | frames 3437–3440 (4 frames)
- International | frames 3443–3444 (2 frames)
- Labor | frames 3447–3448 (2 frames)
- Labor | frames 3456–3459 (4 frames)
- Labor | frames 3467–3471 (5 frames)
- Labor | frames 3474–3476 (3 frames)
- Labor | frames 3483–3485 (3 frames)
- Labor | frames 3491–3493 (3 frames)
- Labor | frames 3500–3503 (4 frames)
- Labor | frames 3508–3509 (2 frames)
- Labor | frames 3518–3519 (2 frames)
- Labor | frames 3526–3529 (4 frames)
- Labor | frames 3534–3537 (4 frames)
- Labor | frames 3560–3561 (2 frames)
- Labor | frames 3568–3569 (2 frames)
- Labor | frames 3589–3591 (3 frames)
- Labor | frames 3595–3597 (3 frames)
- Labor | frames 3611–3612 (2 frames)
- Labor | frames 3617–3618 (2 frames)
- Labor | frames 3621–3622 (2 frames)
- International | frames 3637–3638 (2 frames)
- Labor | frames 3653–3654 (2 frames)
- Labor | frames 3662–3665 (4 frames)
- Justice/Crime | frames 3667–3668 (2 frames)
- Labor | frames 3669–3670 (2 frames)
- Labor | frames 3672–3673 (2 frames)
- Labor | frames 3688–3691 (4 frames)
- Society | frames 3693–3694 (2 frames)
- Sports | frames 3697–3698 (2 frames)
- Labor | frames 3699–3700 (2 frames)
- Other | frames 3709–3712 (4 frames)
- Labor | frames 3725–3726 (2 frames)
- Labor | frames 3733–3734 (2 frames)
- Labor | frames 3743–3744 (2 frames)
- Labor | frames 3759–3760 (2 frames)
- Health | frames 3763–3764 (2 frames)
- Justice/Crime | frames 3765–3766 (2 frames)
- Labor | frames 3769–3770 (2 frames)
- Society | frames 3771–3772 (2 frames)
- Labor | frames 3797–3799 (3 frames)
- Labor | frames 3805–3807 (3 frames)
- Labor | frames 3811–3812 (2 frames)
- Sports | frames 3852–3853 (2 frames)
- Labor | frames 3861–3862 (2 frames)
- Labor | frames 3872–3873 (2 frames)
- Labor | frames 3878–3879 (2 frames)
- Labor | frames 3887–3888 (2 frames)
- Labor | frames 3893–3895 (3 frames)
- International | frames 3905–3906 (2 frames)
- Labor | frames 3915–3918 (4 frames)
- Labor | frames 3930–3933 (4 frames)
- Labor | frames 3942–3944 (3 frames)
- Labor | frames 3947–3948 (2 frames)
- Labor | frames 3956–3958 (3 frames)
- Labor | frames 3965–3967 (3 frames)
- Labor | frames 3980–3983 (4 frames)
- Labor | frames 3985–3987 (3 frames)
- Labor | frames 4009–4010 (2 frames)
- Labor | frames 4013–4014 (2 frames)
- Labor | frames 4016–4017 (2 frames)
- Labor | frames 4029–4030 (2 frames)
- Labor | frames 4032–4034 (3 frames)
- Labor | frames 4042–4043 (2 frames)
- Labor | frames 4058–4059 (2 frames)
- Labor | frames 4065–4067 (3 frames)
- Labor | frames 4084–4086 (3 frames)
- Labor | frames 4090–4092 (3 frames)
- Labor | frames 4118–4119 (2 frames)
- Labor | frames 4121–4122 (2 frames)
- Labor | frames 4131–4132 (2 frames)

Topic block count (each block = 1 vote):
  Politics: 19
  Justice/Crime: 11
  Labor: 55
  Sports: 7
  International: 13
  Health: 5
  Other: 4
  Society: 8

Total frames per topic:
  Politics: 40 frames (3.8%)
  Justice/Crime: 24 frames (2.3%)
  Labor: 899 frames (85.9%)
  Sports: 14 frames (1.3%)
  International: 26 frames (2.5%)
  Health: 10 frames (1.0%)
  Other: 18 frames (1.7%)
  Society: 16 frames (1.5%)
