
==============================
Topic Block Report: Telejornal_TVI_Dec_18
==============================

Total segments after smoothing: 280
Total frames: 803

Segments:
- Other | frames 19–22 (4 frames)
- Politics | frames 35–36 (2 frames)
- Other | frames 46–49 (4 frames)
- Politics | frames 56–57 (2 frames)
- Politics | frames 61–62 (2 frames)
- Other | frames 79–82 (4 frames)
- Other | frames 84–87 (4 frames)
- Justice/Crime | frames 104–105 (2 frames)
- Politics | frames 108–109 (2 frames)
- Justice/Crime | frames 114–115 (2 frames)
- Politics | frames 116–117 (2 frames)
- Politics | frames 129–131 (3 frames)
- Politics | frames 143–144 (2 frames)
- Justice/Crime | frames 163–164 (2 frames)
- Politics | frames 168–173 (6 frames)
- Justice/Crime | frames 175–177 (3 frames)
- Politics | frames 183–185 (3 frames)
- Other | frames 186–189 (4 frames)
- Justice/Crime | frames 283–284 (2 frames)
- Other | frames 312–315 (4 frames)
- Other | frames 334–337 (4 frames)
- Politics | frames 349–351 (3 frames)
- Politics | frames 354–357 (4 frames)
- Other | frames 372–376 (5 frames)
- International | frames 389–390 (2 frames)
- Sports | frames 402–403 (2 frames)
- Economy | frames 426–427 (2 frames)
- Justice/Crime | frames 428–429 (2 frames)
- Politics | frames 430–431 (2 frames)
- Other | frames 432–435 (4 frames)
- Society | frames 441–442 (2 frames)
- Politics | frames 473–475 (3 frames)
- Politics | frames 478–479 (2 frames)
- Politics | frames 491–493 (3 frames)
- Politics | frames 502–505 (4 frames)
- Other | frames 510–514 (5 frames)
- Politics | frames 530–533 (4 frames)
- Other | frames 550–553 (4 frames)
- Politics | frames 556–558 (3 frames)
- Other | frames 565–572 (8 frames)
- Politics | frames 576–577 (2 frames)
- Politics | frames 588–590 (3 frames)
- Politics | frames 603–604 (2 frames)
- Other | frames 620–623 (4 frames)
- Politics | frames 659–661 (3 frames)
- Other | frames 681–685 (5 frames)
- Sports | frames 690–691 (2 frames)
- Other | frames 695–698 (4 frames)
- Other | frames 701–704 (4 frames)
- Politics | frames 760–764 (5 frames)
- Other | frames 797–800 (4 frames)
- Justice/Crime | frames 816–818 (3 frames)
- Politics | frames 823–824 (2 frames)
- Politics | frames 830–832 (3 frames)
- Other | frames 848–852 (5 frames)
- Politics | frames 870–871 (2 frames)
- Justice/Crime | frames 873–874 (2 frames)
- Politics | frames 880–881 (2 frames)
- Politics | frames 902–903 (2 frames)
- Politics | frames 905–906 (2 frames)
- Other | frames 910–914 (5 frames)
- Politics | frames 916–917 (2 frames)
- Politics | frames 960–961 (2 frames)
- Other | frames 997–1000 (4 frames)
- Politics | frames 1004–1006 (3 frames)
- Other | frames 1023–1026 (4 frames)
- Accidents | frames 1035–1036 (2 frames)
- Politics | frames 1053–1057 (5 frames)
- Other | frames 1082–1087 (6 frames)
- Other | frames 1110–1115 (6 frames)
- Politics | frames 1123–1124 (2 frames)
- Justice/Crime | frames 1131–1132 (2 frames)
- Sports | frames 1147–1148 (2 frames)
- Politics | frames 1189–1190 (2 frames)
- Other | frames 1196–1199 (4 frames)
- Other | frames 1221–1226 (6 frames)
- Politics | frames 1266–1268 (3 frames)
- Politics | frames 1270–1271 (2 frames)
- Politics | frames 1283–1284 (2 frames)
- Justice/Crime | frames 1300–1301 (2 frames)
- Politics | frames 1316–1317 (2 frames)
- Sports | frames 1363–1364 (2 frames)
- Politics | frames 1366–1367 (2 frames)
- Politics | frames 1384–1385 (2 frames)
- Politics | frames 1394–1395 (2 frames)
- Justice/Crime | frames 1407–1408 (2 frames)
- Other | frames 1410–1414 (5 frames)
- Justice/Crime | frames 1421–1422 (2 frames)
- Politics | frames 1429–1430 (2 frames)
- Sports | frames 1432–1433 (2 frames)
- Politics | frames 1439–1440 (2 frames)
- Politics | frames 1443–1445 (3 frames)
- Other | frames 1446–1449 (4 frames)
- Justice/Crime | frames 1483–1484 (2 frames)
- Politics | frames 1487–1488 (2 frames)
- Politics | frames 1498–1501 (4 frames)
- Politics | frames 1511–1515 (5 frames)
- Other | frames 1519–1523 (5 frames)
- Other | frames 1528–1531 (4 frames)
