
==============================
Topic Block Report: Telejornal_TVI_Jan_11
==============================

Total segments after smoothing: 285
Total frames: 746

Segments:
- Politics | frames 1–2 (2 frames)
- International | frames 9–10 (2 frames)
- International | frames 12–13 (2 frames)
- Politics | frames 42–44 (3 frames)
- Politics | frames 54–55 (2 frames)
- Politics | frames 57–58 (2 frames)
- Politics | frames 69–70 (2 frames)
- Politics | frames 72–73 (2 frames)
- Politics | frames 78–80 (3 frames)
- Politics | frames 119–121 (3 frames)
- Sports | frames 122–123 (2 frames)
- Politics | frames 168–169 (2 frames)
- Justice/Crime | frames 215–217 (3 frames)
- International | frames 228–229 (2 frames)
- Other | frames 230–233 (4 frames)
- Other | frames 251–254 (4 frames)
- Politics | frames 255–256 (2 frames)
- Politics | frames 258–259 (2 frames)
- Politics | frames 272–276 (5 frames)
- Politics | frames 300–301 (2 frames)
- Politics | frames 317–318 (2 frames)
- Politics | frames 329–330 (2 frames)
- Politics | frames 340–341 (2 frames)
- Politics | frames 365–366 (2 frames)
- International | frames 388–389 (2 frames)
- Other | frames 406–409 (4 frames)
- Politics | frames 420–423 (4 frames)
- Politics | frames 442–445 (4 frames)
- Politics | frames 449–450 (2 frames)
- Other | frames 451–454 (4 frames)
- Politics | frames 462–464 (3 frames)
- Politics | frames 473–474 (2 frames)
- Politics | frames 476–477 (2 frames)
- Politics | frames 484–485 (2 frames)
- Politics | frames 489–491 (3 frames)
- Politics | frames 493–494 (2 frames)
- Politics | frames 498–499 (2 frames)
- Politics | frames 501–502 (2 frames)
- Politics | frames 504–506 (3 frames)
- Politics | frames 524–526 (3 frames)
- Politics | frames 528–530 (3 frames)
- Other | frames 559–562 (4 frames)
- Politics | frames 565–566 (2 frames)
- Politics | frames 569–571 (3 frames)
- Politics | frames 576–579 (4 frames)
- Politics | frames 583–584 (2 frames)
- Other | frames 604–608 (5 frames)
- Politics | frames 611–612 (2 frames)
- Sports | frames 617–618 (2 frames)
- Justice/Crime | frames 619–620 (2 frames)
- Politics | frames 632–633 (2 frames)
- Politics | frames 647–648 (2 frames)
