
==============================
Topic Block Report: Telejornal_TVI_Nov_10
==============================

Total segments after smoothing: 232
Total frames: 692

Segments:
- Other | frames 30–33 (4 frames)
- Politics | frames 38–39 (2 frames)
- Politics | frames 46–47 (2 frames)
- Justice/Crime | frames 62–63 (2 frames)
- Other | frames 78–81 (4 frames)
- Justice/Crime | frames 82–84 (3 frames)
- Justice/Crime | frames 87–88 (2 frames)
- Other | frames 99–103 (5 frames)
- Justice/Crime | frames 114–115 (2 frames)
- International | frames 122–123 (2 frames)
- Justice/Crime | frames 136–137 (2 frames)
- Labor | frames 147–148 (2 frames)
- Other | frames 178–182 (5 frames)
- Other | frames 239–243 (5 frames)
- Other | frames 246–250 (5 frames)
- Politics | frames 273–274 (2 frames)
- Politics | frames 305–306 (2 frames)
- Other | frames 312–315 (4 frames)
- Other | frames 351–357 (7 frames)
- Politics | frames 373–374 (2 frames)
- Justice/Crime | frames 377–378 (2 frames)
- Other | frames 381–384 (4 frames)
- Politics | frames 398–399 (2 frames)
- Justice/Crime | frames 425–426 (2 frames)
- Politics | frames 450–451 (2 frames)
- Other | frames 453–456 (4 frames)
- Politics | frames 469–470 (2 frames)
- Politics | frames 472–473 (2 frames)
- Politics | frames 479–480 (2 frames)
- International | frames 507–508 (2 frames)
- Politics | frames 514–516 (3 frames)
- Politics | frames 526–527 (2 frames)
- Justice/Crime | frames 542–543 (2 frames)
- Other | frames 547–550 (4 frames)
- Politics | frames 581–582 (2 frames)
- Other | frames 606–610 (5 frames)
- Other | frames 625–628 (4 frames)
- Politics | frames 638–639 (2 frames)
- Justice/Crime | frames 649–650 (2 frames)
- Justice/Crime | frames 654–655 (2 frames)
- Other | frames 690–694 (5 frames)
- Other | frames 710–713 (4 frames)
- Labor | frames 714–715 (2 frames)
- Other | frames 727–731 (5 frames)
- Other | frames 734–737 (4 frames)
- Politics | frames 760–761 (2 frames)
- Politics | frames 775–777 (3 frames)
- Other | frames 783–786 (4 frames)
- Politics | frames 821–822 (2 frames)
- Other | frames 825–828 (4 frames)
- Politics | frames 850–851 (2 frames)
- Other | frames 867–870 (4 frames)
- Justice/Crime | frames 896–897 (2 frames)
- Justice/Crime | frames 908–909 (2 frames)
- Politics | frames 923–924 (2 frames)
- Justice/Crime | frames 962–963 (2 frames)
- International | frames 968–970 (3 frames)
- International | frames 979–980 (2 frames)
- Other | frames 983–986 (4 frames)
- Politics | frames 988–989 (2 frames)
- Politics | frames 1002–1006 (5 frames)
- International | frames 1034–1035 (2 frames)
- Other | frames 1058–1061 (4 frames)
- Other | frames 1067–1071 (5 frames)
- Justice/Crime | frames 1073–1074 (2 frames)
- International | frames 1095–1096 (2 frames)
- Politics | frames 1123–1124 (2 frames)
- Other | frames 1144–1149 (6 frames)
