
==============================
Topic Block Report: Telejornal_TVI_Nov_20
==============================

Total segments after smoothing: 363
Total frames: 921

Segments:
- Justice/Crime | frames 0–1 (2 frames)
- Politics | frames 8–9 (2 frames)
- Justice/Crime | frames 14–15 (2 frames)
- Justice/Crime | frames 22–23 (2 frames)
- Justice/Crime | frames 47–49 (3 frames)
- Politics | frames 67–68 (2 frames)
- Justice/Crime | frames 69–71 (3 frames)
- Politics | frames 73–74 (2 frames)
- Economy | frames 77–78 (2 frames)
- Other | frames 93–96 (4 frames)
- Justice/Crime | frames 103–104 (2 frames)
- Justice/Crime | frames 122–124 (3 frames)
- Justice/Crime | frames 156–157 (2 frames)
- Justice/Crime | frames 160–163 (4 frames)
- Politics | frames 170–171 (2 frames)
- Justice/Crime | frames 176–178 (3 frames)
- Justice/Crime | frames 184–186 (3 frames)
- Politics | frames 190–194 (5 frames)
- Justice/Crime | frames 197–198 (2 frames)
- Justice/Crime | frames 206–208 (3 frames)
- Justice/Crime | frames 216–217 (2 frames)
- Politics | frames 218–219 (2 frames)
- Other | frames 220–223 (4 frames)
- Justice/Crime | frames 264–265 (2 frames)
- Justice/Crime | frames 276–277 (2 frames)
- Justice/Crime | frames 289–293 (5 frames)
- Politics | frames 301–302 (2 frames)
- Justice/Crime | frames 320–321 (2 frames)
- Justice/Crime | frames 339–342 (4 frames)
- Justice/Crime | frames 346–347 (2 frames)
- Other | frames 361–364 (4 frames)
- Justice/Crime | frames 365–366 (2 frames)
- Justice/Crime | frames 409–410 (2 frames)
- Justice/Crime | frames 417–418 (2 frames)
- Justice/Crime | frames 423–424 (2 frames)
- Justice/Crime | frames 428–429 (2 frames)
- Politics | frames 447–448 (2 frames)
- Justice/Crime | frames 457–460 (4 frames)
- Justice/Crime | frames 462–464 (3 frames)
- Justice/Crime | frames 469–470 (2 frames)
- Justice/Crime | frames 474–476 (3 frames)
- Politics | frames 488–489 (2 frames)
- Justice/Crime | frames 498–500 (3 frames)
- Justice/Crime | frames 508–509 (2 frames)
- Justice/Crime | frames 542–543 (2 frames)
- Politics | frames 548–549 (2 frames)
- Justice/Crime | frames 585–587 (3 frames)
- Politics | frames 592–593 (2 frames)
- Politics | frames 599–600 (2 frames)
- Politics | frames 659–662 (4 frames)
- Justice/Crime | frames 695–698 (4 frames)
- Other | frames 701–704 (4 frames)
- Justice/Crime | frames 746–748 (3 frames)
- Politics | frames 755–756 (2 frames)
- Politics | frames 767–768 (2 frames)
- Justice/Crime | frames 771–775 (5 frames)
- Justice/Crime | frames 808–809 (2 frames)
- Politics | frames 827–829 (3 frames)
- Politics | frames 838–839 (2 frames)
- Justice/Crime | frames 847–849 (3 frames)
- Justice/Crime | frames 854–855 (2 frames)
- Other | frames 861–865 (5 frames)
- International | frames 866–867 (2 frames)
- Justice/Crime | frames 878–879 (2 frames)
- Justice/Crime | frames 900–902 (3 frames)
- Politics | frames 911–913 (3 frames)
- Politics | frames 922–924 (3 frames)
- Politics | frames 926–927 (2 frames)
- Justice/Crime | frames 962–963 (2 frames)
- Politics | frames 977–978 (2 frames)
- Other | frames 997–1000 (4 frames)
- Justice/Crime | frames 1026–1027 (2 frames)
- Other | frames 1036–1039 (4 frames)
- Economy | frames 1041–1042 (2 frames)
- Justice/Crime | frames 1059–1060 (2 frames)
- Politics | frames 1065–1066 (2 frames)
- Justice/Crime | frames 1068–1071 (4 frames)
- Politics | frames 1077–1079 (3 frames)
- Health | frames 1115–1116 (2 frames)
- Justice/Crime | frames 1117–1118 (2 frames)
- Justice/Crime | frames 1128–1129 (2 frames)
- Other | frames 1137–1140 (4 frames)
- International | frames 1153–1154 (2 frames)
- International | frames 1157–1158 (2 frames)
- Justice/Crime | frames 1191–1195 (5 frames)
- Justice/Crime | frames 1202–1204 (3 frames)
- Politics | frames 1209–1211 (3 frames)
- Politics | frames 1223–1224 (2 frames)
- Other | frames 1232–1235 (4 frames)
- Politics | frames 1248–1249 (2 frames)
- Politics | frames 1283–1285 (3 frames)
- Politics | frames 1288–1289 (2 frames)
- Politics | frames 1319–1322 (4 frames)
- Society | frames 1323–1324 (2 frames)
- Justice/Crime | frames 1334–1336 (3 frames)
- Politics | frames 1376–1377 (2 frames)
- Justice/Crime | frames 1403–1404 (2 frames)
- Justice/Crime | frames 1406–1407 (2 frames)
- Justice/Crime | frames 1427–1428 (2 frames)
- International | frames 1429–1430 (2 frames)
- Justice/Crime | frames 1458–1459 (2 frames)
- Justice/Crime | frames 1463–1466 (4 frames)
- Justice/Crime | frames 1482–1483 (2 frames)
- International | frames 1500–1501 (2 frames)
- Justice/Crime | frames 1509–1511 (3 frames)
- Justice/Crime | frames 1513–1514 (2 frames)
- Justice/Crime | frames 1529–1530 (2 frames)
- Justice/Crime | frames 1538–1539 (2 frames)
- Politics | frames 1545–1546 (2 frames)
- Justice/Crime | frames 1549–1550 (2 frames)
- Justice/Crime | frames 1554–1557 (4 frames)
- Justice/Crime | frames 1563–1564 (2 frames)
- Justice/Crime | frames 1583–1584 (2 frames)
- Politics | frames 1600–1602 (3 frames)
- Politics | frames 1639–1640 (2 frames)
- Justice/Crime | frames 1643–1644 (2 frames)
- Justice/Crime | frames 1647–1648 (2 frames)
- Politics | frames 1651–1652 (2 frames)
- Politics | frames 1672–1674 (3 frames)
- Politics | frames 1684–1685 (2 frames)
- Justice/Crime | frames 1690–1691 (2 frames)
- Politics | frames 1710–1711 (2 frames)
- Other | frames 1722–1725 (4 frames)
- Justice/Crime | frames 1743–1744 (2 frames)
- Politics | frames 1745–1748 (4 frames)
- Politics | frames 1753–1754 (2 frames)
- Justice/Crime | frames 1757–1758 (2 frames)
- Politics | frames 1759–1760 (2 frames)
- Justice/Crime | frames 1781–1783 (3 frames)
- Justice/Crime | frames 1785–1788 (4 frames)
- Politics | frames 1800–1802 (3 frames)
- Health | frames 1812–1813 (2 frames)
- Politics | frames 1814–1815 (2 frames)
- Justice/Crime | frames 1819–1821 (3 frames)
- Other | frames 1827–1831 (5 frames)
- Justice/Crime | frames 1832–1833 (2 frames)
- Justice/Crime | frames 1837–1839 (3 frames)
- Politics | frames 1840–1841 (2 frames)
- Justice/Crime | frames 1850–1852 (3 frames)
- Other | frames 1856–1859 (4 frames)
- Justice/Crime | frames 1860–1861 (2 frames)
- Other | frames 1866–1869 (4 frames)
- Politics | frames 1880–1881 (2 frames)
- Politics | frames 1883–1884 (2 frames)
- Politics | frames 1889–1890 (2 frames)
- Justice/Crime | frames 1895–1896 (2 frames)
- Politics | frames 1899–1900 (2 frames)
- Politics | frames 1916–1917 (2 frames)
- Politics | frames 1946–1947 (2 frames)
- Other | frames 1968–1971 (4 frames)
- Politics | frames 1987–1988 (2 frames)
- Politics | frames 1992–1993 (2 frames)
- Justice/Crime | frames 1996–1997 (2 frames)
- Justice/Crime | frames 1999–2001 (3 frames)
- Justice/Crime | frames 2009–2010 (2 frames)
- Politics | frames 2013–2014 (2 frames)
- Justice/Crime | frames 2016–2017 (2 frames)
- Justice/Crime | frames 2020–2021 (2 frames)
- Justice/Crime | frames 2052–2054 (3 frames)
- Politics | frames 2061–2062 (2 frames)
- Justice/Crime | frames 2077–2079 (3 frames)
- International | frames 2096–2097 (2 frames)
- Justice/Crime | frames 2099–2100 (2 frames)
- Justice/Crime | frames 2120–2123 (4 frames)
- Health | frames 2150–2151 (2 frames)
- Justice/Crime | frames 2156–2157 (2 frames)
- Justice/Crime | frames 2177–2179 (3 frames)
- Justice/Crime | frames 2202–2204 (3 frames)
- Politics | frames 2206–2207 (2 frames)
- Other | frames 2212–2217 (6 frames)
- Justice/Crime | frames 2228–2229 (2 frames)
- Politics | frames 2231–2232 (2 frames)
- Justice/Crime | frames 2247–2249 (3 frames)
- International | frames 2277–2278 (2 frames)
- Justice/Crime | frames 2311–2312 (2 frames)
- Politics | frames 2315–2316 (2 frames)
- Politics | frames 2320–2321 (2 frames)
- Politics | frames 2331–2332 (2 frames)
- Other | frames 2336–2339 (4 frames)
- Justice/Crime | frames 2345–2348 (4 frames)
- International | frames 2358–2359 (2 frames)
- Justice/Crime | frames 2360–2361 (2 frames)
- Politics | frames 2393–2394 (2 frames)
- Justice/Crime | frames 2403–2405 (3 frames)
- Economy | frames 2408–2409 (2 frames)
- Politics | frames 2424–2425 (2 frames)
- Justice/Crime | frames 2437–2439 (3 frames)
- Justice/Crime | frames 2441–2442 (2 frames)
- Other | frames 2443–2447 (5 frames)
- International | frames 2467–2468 (2 frames)
- Other | frames 2473–2479 (7 frames)
- Politics | frames 2490–2491 (2 frames)
- Politics | frames 2509–2510 (2 frames)
- Politics | frames 2529–2531 (3 frames)
- Politics | frames 2582–2584 (3 frames)
- Justice/Crime | frames 2595–2596 (2 frames)
- Politics | frames 2608–2610 (3 frames)
- Politics | frames 2617–2618 (2 frames)
- Justice/Crime | frames 2621–2622 (2 frames)
- Justice/Crime | frames 2630–2631 (2 frames)
- Justice/Crime | frames 2640–2642 (3 frames)
- Politics | frames 2643–2644 (2 frames)
- Justice/Crime | frames 2646–2647 (2 frames)
- Justice/Crime | frames 2657–2658 (2 frames)
- Justice/Crime | frames 2663–2665 (3 frames)
- Other | frames 2672–2675 (4 frames)
- Other | frames 2693–2697 (5 frames)
- Politics | frames 2704–2706 (3 frames)
- Justice/Crime | frames 2712–2713 (2 frames)
- Health | frames 2722–2723 (2 frames)
- Other | frames 2734–2738 (5 frames)
- Justice/Crime | frames 2742–2743 (2 frames)
- International | frames 2750–2751 (2 frames)
- Justice/Crime | frames 2763–2765 (3 frames)
- Politics | frames 2779–2782 (4 frames)
- Economy | frames 2785–2787 (3 frames)
- Justice/Crime | frames 2789–2790 (2 frames)
- Justice/Crime | frames 2792–2793 (2 frames)
- Politics | frames 2797–2798 (2 frames)
- Politics | frames 2816–2817 (2 frames)
- Justice/Crime | frames 2818–2819 (2 frames)
- Economy | frames 2822–2823 (2 frames)
- Justice/Crime | frames 2843–2844 (2 frames)
- Justice/Crime | frames 2859–2861 (3 frames)
- Justice/Crime | frames 2869–2870 (2 frames)
- Justice/Crime | frames 2876–2877 (2 frames)
- Justice/Crime | frames 2882–2883 (2 frames)
- Politics | frames 2887–2888 (2 frames)
- Justice/Crime | frames 2905–2906 (2 frames)
- Politics | frames 2919–2922 (4 frames)
- Politics | frames 2932–2934 (3 frames)
- Justice/Crime | frames 2961–2963 (3 frames)
- Politics | frames 2965–2966 (2 frames)
- Justice/Crime | frames 2970–2971 (2 frames)
- Justice/Crime | frames 2974–2975 (2 frames)
- International | frames 2977–2978 (2 frames)
- Justice/Crime | frames 2995–2996 (2 frames)
- Justice/Crime | frames 3005–3007 (3 frames)
- Justice/Crime | frames 3009–3010 (2 frames)
- Justice/Crime | frames 3025–3026 (2 frames)
- International | frames 3027–3028 (2 frames)
- Politics | frames 3038–3039 (2 frames)
- Politics | frames 3057–3058 (2 frames)
- Other | frames 3068–3071 (4 frames)
- Politics | frames 3090–3091 (2 frames)
- Justice/Crime | frames 3097–3098 (2 frames)
- Justice/Crime | frames 3110–3111 (2 frames)
- Justice/Crime | frames 3115–3116 (2 frames)
- Politics | frames 3124–3125 (2 frames)
- Other | frames 3129–3133 (5 frames)
- Justice/Crime | frames 3150–3155 (6 frames)
- Politics | frames 3158–3159 (2 frames)
- Justice/Crime | frames 3163–3164 (2 frames)
- Politics | frames 3183–3184 (2 frames)
- Justice/Crime | frames 3197–3198 (2 frames)
- Politics | frames 3200–3201 (2 frames)
- Justice/Crime | frames 3207–3209 (3 frames)
- Other | frames 3240–3243 (4 frames)
- Justice/Crime | frames 3268–3269 (2 frames)
- Justice/Crime | frames 3271–3272 (2 frames)
- Politics | frames 3274–3275 (2 frames)
- Justice/Crime | frames 3288–3292 (5 frames)
- Health | frames 3317–3318 (2 frames)
- Justice/Crime | frames 3327–3328 (2 frames)
- Justice/Crime | frames 3336–3337 (2 frames)
- Economy | frames 3357–3358 (2 frames)
- Politics | frames 3383–3384 (2 frames)
- Justice/Crime | frames 3424–3427 (4 frames)
- Justice/Crime | frames 3431–3432 (2 frames)
- Politics | frames 3439–3440 (2 frames)
- Justice/Crime | frames 3460–3461 (2 frames)
- Politics | frames 3470–3471 (2 frames)
- Justice/Crime | frames 3507–3508 (2 frames)
- Justice/Crime | frames 3512–3513 (2 frames)
- Justice/Crime | frames 3523–3524 (2 frames)
- Politics | frames 3595–3596 (2 frames)
- Justice/Crime | frames 3627–3628 (2 frames)
- Justice/Crime | frames 3656–3659 (4 frames)
- Health | frames 3662–3663 (2 frames)
- Politics | frames 3671–3672 (2 frames)
- Politics | frames 3678–3679 (2 frames)
- Justice/Crime | frames 3686–3687 (2 frames)
- Politics | frames 3693–3694 (2 frames)
- Justice/Crime | frames 3699–3700 (2 frames)
- Politics | frames 3706–3707 (2 frames)
- Politics | frames 3714–3715 (2 frames)
- Justice/Crime | frames 3719–3722 (4 frames)
- Politics | frames 3729–3731 (3 frames)
- Justice/Crime | frames 3736–3737 (2 frames)
- Justice/Crime | frames 3762–3763 (2 frames)
- Politics | frames 3768–3770 (3 frames)
- Justice/Crime | frames 3789–3790 (2 frames)
- Politics | frames 3804–3805 (2 frames)
- Justice/Crime | frames 3807–3808 (2 frames)
- Politics | frames 3845–3846 (2 frames)
- Politics | frames 3851–3852 (2 frames)
- Society | frames 3861–3862 (2 frames)
- Justice/Crime | frames 3864–3865 (2 frames)
- Justice/Crime | frames 3884–3885 (2 frames)
- Justice/Crime | frames 3902–3904 (3 frames)
- Justice/Crime | frames 3907–3909 (3 frames)
- Justice/Crime | frames 3929–3930 (2 frames)
- Justice/Crime | frames 3932–3933 (2 frames)
- Justice/Crime | frames 3950–3951 (2 frames)
- Justice/Crime | frames 3957–3959 (3 frames)
- Justice/Crime | frames 3968–3969 (2 frames)
- Justice/Crime | frames 3971–3974 (4 frames)
- Justice/Crime | frames 3977–3978 (2 frames)
- Politics | frames 3981–3982 (2 frames)
- Justice/Crime | frames 3985–3986 (2 frames)
- Politics | frames 3992–3993 (2 frames)
- Justice/Crime | frames 3994–3995 (2 frames)
- Politics | frames 3999–4001 (3 frames)
- Justice/Crime | frames 4006–4007 (2 frames)
- Justice/Crime | frames 4017–4018 (2 frames)
- Economy | frames 4019–4020 (2 frames)
- Justice/Crime | frames 4029–4030 (2 frames)
- International | frames 4046–4047 (2 frames)
- Politics | frames 4057–4060 (4 frames)
- Justice/Crime | frames 4061–4062 (2 frames)
- Other | frames 4069–4072 (4 frames)
- Justice/Crime | frames 4092–4093 (2 frames)
- Other | frames 4108–4111 (4 frames)
- Politics | frames 4121–4122 (2 frames)
- Politics | frames 4139–4142 (4 frames)
- Justice/Crime | frames 4143–4144 (2 frames)
- Justice/Crime | frames 4158–4160 (3 frames)
- Justice/Crime | frames 4162–4163 (2 frames)
- Politics | frames 4183–4184 (2 frames)
- Politics | frames 4209–4210 (2 frames)
- Health | frames 4211–4212 (2 frames)
- Justice/Crime | frames 4216–4218 (3 frames)
- Justice/Crime | frames 4223–4224 (2 frames)
- Politics | frames 4242–4243 (2 frames)
- Society | frames 4253–4254 (2 frames)
- Other | frames 4257–4260 (4 frames)
- Justice/Crime | frames 4268–4269 (2 frames)
- Justice/Crime | frames 4286–4287 (2 frames)
- Justice/Crime | frames 4290–4291 (2 frames)
- Justice/Crime | frames 4295–4297 (3 frames)
- Justice/Crime | frames 4322–4323 (2 frames)
- Justice/Crime | frames 4336–4337 (2 frames)
- Justice/Crime | frames 4351–4352 (2 frames)
- Politics | frames 4354–4355 (2 frames)
- International | frames 4366–4367 (2 frames)
- International | frames 4379–4380 (2 frames)
- Justice/Crime | frames 4395–4396 (2 frames)
- Justice/Crime | frames 4400–4402 (3 frames)
- Justice/Crime | frames 4411–4412 (2 frames)
- Politics | frames 4431–4432 (2 frames)
- Justice/Crime | frames 4433–4436 (4 frames)
- Justice/Crime | frames 4441–4442 (2 frames)
- Justice/Crime | frames 4458–4459 (2 frames)
- Justice/Crime | frames 4462–4464 (3 frames)
- Justice/Crime | frames 4470–4471 (2 frames)
- Justice/Crime | frames 4473–4475 (3 frames)
- Justice/Crime | frames 4480–4481 (2 frames)
- Justice/Crime | frames 4483–4484 (2 frames)
- Justice/Crime | frames 4492–4494 (3 frames)
- Justice/Crime | frames 4507–4509 (3 frames)
- Justice/Crime | frames 4524–4526 (3 frames)
- Justice/Crime | frames 4540–4543 (4 frames)
- Politics | frames 4548–4549 (2 frames)

Topic block count (each block = 1 vote):
  Justice/Crime: 93
  Politics: 76
  Economy: 7
  Other: 26
  International: 13
  Health: 7
  Society: 3

Total frames per topic:
  Justice/Crime: 485 frames (52.7%)
  Politics: 252 frames (27.4%)
  Economy: 15 frames (1.6%)
  Other: 119 frames (12.9%)
  International: 30 frames (3.3%)
  Health: 14 frames (1.5%)
  Society: 6 frames (0.7%)
